,TRUTHS,Payload,AOCS,Power_Subsystem,Communications,DHS,OBCS,HIS,Payload_Management_Control_System,Star_Trackers,Reaction_Wheels,Coarse_Sun_Sensor,Magnetometers,Magnetorquers,GPS_Reciever,OBC,RIU,MMFU,Mil_STD_1553B,Payload_LVDS,X_Band_LVDS,Payload_SpaceWire,OBC_SpaceWire,Discrete_Serial_Data_Bus,Flow_Ctrl,Lion_Battery_Module,Solar_Array,Solar_Array_actuator,PCDU,Primary_Power_Bus,S_Band_Transponder,Nadir_Low_Gain_Antenna,Zenith_Low_Gain_Antenna,Coupler,X_Band_Antenna,TWT,EPC,APSK_Modulater,Svalbard,Inuvik,Kiruna,COMMS,Decontamination,Deep_Space_Pointing,Earth_Observation,Imaging_Manoeuvre,Lunar_HIS_Observation,Lunar_OBCS_Observation,Orbit_Control,SAT_NOM,Solar_Observation,TRUTHS_Decontamination,TRUTHS_Deep_Space_Pointing_Manouevre,TRUTHS_HIS_Lunar_Imaging_Manouevre,TRUTHS_Lunar_Spectral_Irradiance_HIS_Obsv,TRUTHS_Lunar_Spectral_Irradiance_OBSC_Obsv,TRUTHS_MMFU_Downlink,TRUTHS_Nadir_Earth_Radiance_Obsv_,TRUTHS_Nadir_Imaging_Manoeuvre,TRUTHS_OBCS_Lunar_Imaging_Manoeuvre,TRUTHS_Off__Nadir_Earth_Radiance_Obsv,TRUTHS_Orbit_Cont_In_Plane,TRUTHS_Orbit_Control_Out_Of_Plane,TRUTHS_S2SC_Manouevre,TRUTHS_SMC_Calibration,TRUTHS_Solar_Calibration_Manouevre,TRUTHS_Solar_Imaging_Manouevre,TRUTHS_Solar_SSI_Obsv,TRUTHS_Solar_TSI_Obsv,TRUTHS_TT&C,Initialisation,DHS_Reconfig
Communication_for_Command_and_Telemetry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Data_Rate_Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOCS,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Communications,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OBDH,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payload,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propulsion_Subsystem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nominal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
